"status";"general_jedi_encarregado";"estatura_cm";"massa_em_kilos"
"Apto";"Shaak Ti";180,23;84,37
"Apto";"Yoda";180,84;83,39
"Apto";"Yoda";180,49;84,29
"Apto";"Aayla Secura";180,78;84,45
"Defeituoso";"Shaak Ti";180,39;83,1
"Apto";"Obi-Wan Kenobi";181,09;83,18
"Apto";"Aayla Secura";181;84,23
"Apto";"Aayla Secura";180,27;84,22
"Apto";"Obi-Wan Kenobi";180,05;84,08
"Apto";"Aayla Secura";180,42;83,3
"Defeituoso";"Shaak Ti";180,35;83,16
"Defeituoso";"Shaak Ti";180,42;83,32
"Apto";"Shaak Ti";180,31;84,43
"Apto";"Yoda";180,66;83,3
"Apto";"Yoda";180,44;84,25
"Apto";"Obi-Wan Kenobi";180,72;83,25
"Apto";"Shaak Ti";180,31;83,49
"Apto";"Aayla Secura";180,34;83,03
"Apto";"Mace Windu";180,16;83,59
"Apto";"Obi-Wan Kenobi";180,13;84,23
"Apto";"Aayla Secura";180,65;83,05
"Apto";"Mace Windu";180,62;83,88
"Apto";"Mace Windu";180,06;83,62
"Apto";"Mace Windu";180,46;84,07
"Apto";"Aayla Secura";181,14;83,61
"Apto";"Yoda";181,03;83,68
"Defeituoso";"Yoda";180,48;83,22
"Apto";"Obi-Wan Kenobi";180,2;83,69
"Apto";"Mace Windu";180,4;83,75
"Apto";"Aayla Secura";180,39;83,74
"Apto";"Mace Windu";180,76;84,33
"Apto";"Obi-Wan Kenobi";180,6;83,83
"Apto";"Mace Windu";180,93;83,46
"Apto";"Aayla Secura";180,49;84,47
"Apto";"Obi-Wan Kenobi";180,53;83,42
"Apto";"Obi-Wan Kenobi";180,69;84,32
"Apto";"Obi-Wan Kenobi";181,18;83,61
"Apto";"Yoda";180,86;83,61
"Apto";"Yoda";180,42;84,21
"Apto";"Obi-Wan Kenobi";181,01;83,24
"Apto";"Obi-Wan Kenobi";180,27;83,56
"Defeituoso";"Shaak Ti";180,42;83,05
"Defeituoso";"Yoda";180,4;83,17
"Apto";"Mace Windu";180,6;83,64
"Defeituoso";"Yoda";180,29;83,31
"Apto";"Mace Windu";180,01;83,21
"Defeituoso";"Shaak Ti";180,47;83,03
"Apto";"Aayla Secura";180,37;83
"Apto";"Shaak Ti";180,09;83,04
"Apto";"Yoda";180,75;83,74
"Apto";"Mace Windu";180,32;84,37
"Apto";"Yoda";180,1;83,18
"Apto";"Mace Windu";180,79;83,54
"Apto";"Obi-Wan Kenobi";180,23;84,33
"Apto";"Shaak Ti";180,14;83,29
"Apto";"Aayla Secura";180,27;83,23
"Apto";"Obi-Wan Kenobi";180,75;84,21
"Apto";"Aayla Secura";180,1;83,65
"Apto";"Shaak Ti";180,72;83,4
"Apto";"Aayla Secura";180,54;84,43
"Defeituoso";"Yoda";180,4;83,17
"Apto";"Yoda";180,19;83,42
"Apto";"Shaak Ti";180,76;83,64
"Apto";"Yoda";180,52;83,72
"Apto";"Mace Windu";180,26;84,07
"Apto";"Yoda";180,78;83,57
"Apto";"Shaak Ti";180,72;83,38
"Apto";"Obi-Wan Kenobi";180,29;84,04
"Apto";"Aayla Secura";180,64;84,2
"Apto";"Obi-Wan Kenobi";180,01;83,39
"Apto";"Mace Windu";180,09;83,26
"Apto";"Aayla Secura";180,99;83,08
"Defeituoso";"Shaak Ti";180,42;83,37
"Apto";"Shaak Ti";181,18;83,78
"Defeituoso";"Yoda";180,38;83
"Apto";"Mace Windu";180,84;83,52
"Apto";"Mace Windu";180,36;83,52
"Apto";"Mace Windu";180,25;84,44
"Apto";"Yoda";180,93;83,6
"Apto";"Mace Windu";181,16;83,89
"Apto";"Obi-Wan Kenobi";180,4;84,23
"Apto";"Shaak Ti";180,22;83,72
"Apto";"Yoda";180,25;84,32
"Apto";"Shaak Ti";180,04;83,72
"Apto";"Shaak Ti";180,71;83,84
"Apto";"Aayla Secura";180,72;83,32
"Apto";"Obi-Wan Kenobi";180,99;83,33
"Apto";"Aayla Secura";180,64;83,7
"Apto";"Yoda";180,07;83,54
"Apto";"Shaak Ti";180,19;83,14
"Defeituoso";"Yoda";180,52;83,23
"Apto";"Aayla Secura";180,23;83,08
"Apto";"Shaak Ti";180,02;83,6
"Apto";"Obi-Wan Kenobi";180,69;83,83
"Defeituoso";"Shaak Ti";180,5;83,09
"Apto";"Mace Windu";180,49;83,44
"Apto";"Mace Windu";181,08;84,26
"Apto";"Aayla Secura";181,06;83,16
"Apto";"Aayla Secura";180,95;84,46
"Apto";"Aayla Secura";180,33;83,34
"Apto";"Yoda";180,43;83,57
"Apto";"Mace Windu";181,2;83,83
"Apto";"Obi-Wan Kenobi";180,34;84,38
"Defeituoso";"Yoda";180,39;83,33
"Apto";"Obi-Wan Kenobi";180,83;84,06
"Apto";"Aayla Secura";180,25;83,66
"Apto";"Yoda";180,17;83,43
"Apto";"Aayla Secura";180,43;83,91
"Apto";"Aayla Secura";180,93;83,18
"Apto";"Aayla Secura";180,28;84,44
"Apto";"Yoda";180,8;84,41
"Apto";"Aayla Secura";180,73;84,2
"Apto";"Yoda";180,92;83,34
"Apto";"Mace Windu";181,01;84
"Apto";"Shaak Ti";180,67;83,46
"Apto";"Obi-Wan Kenobi";180,31;83,44
"Apto";"Yoda";180,97;83,5
"Apto";"Yoda";181,11;84,3
"Defeituoso";"Shaak Ti";180,39;83,08
"Apto";"Mace Windu";180,12;84,42
"Apto";"Yoda";180,09;84,01
"Apto";"Aayla Secura";180,63;84,17
"Defeituoso";"Shaak Ti";180,4;83,33
"Apto";"Aayla Secura";180,79;83,69
"Apto";"Mace Windu";180,12;83,58
"Apto";"Shaak Ti";180,94;83,75
"Apto";"Shaak Ti";181,05;83,73
"Apto";"Shaak Ti";181,08;83,66
"Apto";"Shaak Ti";180,7;84,49
"Apto";"Mace Windu";180,52;83,46
"Apto";"Shaak Ti";181,08;83,7
"Apto";"Aayla Secura";180,77;83,69
"Apto";"Mace Windu";181,19;84,06
"Apto";"Shaak Ti";180,88;84,21
"Apto";"Obi-Wan Kenobi";181,1;84,49
"Apto";"Obi-Wan Kenobi";180,83;84,5
"Apto";"Mace Windu";180,16;83,02
"Apto";"Yoda";180;83,71
"Apto";"Aayla Secura";180,32;83,49
"Apto";"Aayla Secura";180,81;83,38
"Apto";"Yoda";180,4;84,22
"Apto";"Shaak Ti";180,24;83,17
"Apto";"Aayla Secura";180,48;84,39
"Defeituoso";"Shaak Ti";180,45;83,22
"Defeituoso";"Yoda";180,35;83,08
"Apto";"Yoda";181,03;83,6
"Apto";"Shaak Ti";180,51;83,91
"Apto";"Shaak Ti";180,98;83,97
"Apto";"Shaak Ti";180,59;83,27
"Apto";"Mace Windu";180,74;83,86
"Apto";"Mace Windu";180,55;84,49
"Apto";"Aayla Secura";181,19;84,35
"Apto";"Mace Windu";180,46;83,72
"Apto";"Mace Windu";181,19;83,88
"Apto";"Aayla Secura";181,03;83,64
"Apto";"Mace Windu";180,81;83,06
"Apto";"Shaak Ti";180,66;84,32
"Apto";"Obi-Wan Kenobi";180,72;83,42
"Apto";"Aayla Secura";180,58;84,04
"Apto";"Shaak Ti";180,27;83,51
"Defeituoso";"Shaak Ti";180,36;83,12
"Apto";"Obi-Wan Kenobi";180,52;84,31
"Apto";"Mace Windu";180,41;83,41
"Apto";"Aayla Secura";180,4;83,28
"Apto";"Mace Windu";180,67;83,25
"Apto";"Obi-Wan Kenobi";180,25;83,39
"Apto";"Shaak Ti";180,65;83,26
"Apto";"Aayla Secura";181,03;84,5
"Apto";"Yoda";180,4;83,9
"Apto";"Yoda";180,9;83,12
"Apto";"Aayla Secura";180,8;84,5
"Apto";"Mace Windu";180,14;83,39
"Apto";"Aayla Secura";180,3;83,89
"Apto";"Mace Windu";180,13;84,13
"Apto";"Obi-Wan Kenobi";180,34;84,1
"Apto";"Shaak Ti";180,49;84,42
"Apto";"Shaak Ti";181,1;84,06
"Apto";"Shaak Ti";180,27;83,71
"Defeituoso";"Yoda";180,3;83,17
"Apto";"Mace Windu";181,01;84,07
"Apto";"Mace Windu";180,9;84,2
"Apto";"Yoda";181,08;83,03
"Apto";"Mace Windu";180,4;84,33
"Apto";"Shaak Ti";180,64;84,16
"Apto";"Aayla Secura";180,73;83,86
"Apto";"Aayla Secura";180,28;83,35
"Apto";"Mace Windu";180,96;84,26
"Apto";"Obi-Wan Kenobi";180,44;83,03
"Apto";"Shaak Ti";180,55;84,13
"Apto";"Shaak Ti";180,66;83,18
"Apto";"Aayla Secura";180,08;83,46
"Apto";"Aayla Secura";180,98;84,04
"Apto";"Shaak Ti";180,06;83,65
"Apto";"Aayla Secura";180,8;83,1
"Apto";"Yoda";180,14;84,32
"Apto";"Aayla Secura";180,98;83,17
"Apto";"Yoda";180,45;83,56
"Apto";"Mace Windu";180,5;84,28
"Apto";"Shaak Ti";180,77;84,24
"Apto";"Obi-Wan Kenobi";180,38;84,3
"Apto";"Mace Windu";180,12;83,42
"Apto";"Obi-Wan Kenobi";180,51;83,96
"Apto";"Mace Windu";180,76;83,64
"Defeituoso";"Shaak Ti";180,38;83,28
"Apto";"Aayla Secura";181,06;84,42
"Apto";"Aayla Secura";180,18;84,48
"Apto";"Aayla Secura";180,23;83,97
"Apto";"Shaak Ti";180,99;83,38
"Apto";"Yoda";180,61;84,47
"Apto";"Yoda";180,18;83,69
"Apto";"Obi-Wan Kenobi";180,82;83,7
"Apto";"Yoda";180,79;83,07
"Apto";"Mace Windu";180,84;83,72
"Apto";"Shaak Ti";180,78;84,11
"Apto";"Obi-Wan Kenobi";180,67;83,78
"Apto";"Aayla Secura";181,05;83,74
"Apto";"Obi-Wan Kenobi";181,2;83,32
"Apto";"Obi-Wan Kenobi";180,79;83,38
"Defeituoso";"Shaak Ti";180,42;83,14
"Apto";"Obi-Wan Kenobi";180,8;83,04
"Apto";"Aayla Secura";180,7;84,38
"Apto";"Yoda";181,09;83,27
"Apto";"Mace Windu";180,69;83,98
"Apto";"Shaak Ti";180,51;84,28
"Apto";"Yoda";181,15;83,56
"Apto";"Yoda";181,14;83,58
"Defeituoso";"Yoda";180,4;83,09
"Apto";"Aayla Secura";181,02;84,36
"Apto";"Aayla Secura";180,31;84,15
"Apto";"Shaak Ti";180,72;84,25
"Apto";"Aayla Secura";180,89;84,17
"Apto";"Mace Windu";180,32;83,26
"Apto";"Obi-Wan Kenobi";180,58;83,55
"Apto";"Mace Windu";180,53;83,38
"Apto";"Mace Windu";180,77;83,38
"Apto";"Obi-Wan Kenobi";180,83;83,89
"Apto";"Yoda";180,54;83,76
"Apto";"Shaak Ti";180,04;83,92
"Defeituoso";"Yoda";180,45;83,17
"Apto";"Shaak Ti";180,97;83,62
"Apto";"Yoda";180,67;83,11
"Apto";"Shaak Ti";180,96;83,56
"Apto";"Aayla Secura";180,19;84,35
"Apto";"Aayla Secura";180,09;83,62
"Apto";"Aayla Secura";180,06;84,19
"Apto";"Aayla Secura";180,41;84,3
"Apto";"Aayla Secura";180,69;83,34
"Apto";"Yoda";180,31;83,5
"Apto";"Yoda";181,16;83,55
"Apto";"Yoda";180,56;84,39
"Defeituoso";"Yoda";180,5;83,02
"Apto";"Obi-Wan Kenobi";180,67;83,76
"Apto";"Aayla Secura";180,27;83,77
"Apto";"Aayla Secura";181,16;84,19
"Apto";"Yoda";181,06;83,18
"Apto";"Obi-Wan Kenobi";180,1;83,44
"Apto";"Shaak Ti";180,72;83,67
"Defeituoso";"Yoda";180,32;83,22
"Apto";"Yoda";180,05;83,6
"Apto";"Yoda";180,16;83,35
"Apto";"Obi-Wan Kenobi";181,1;84,41
"Apto";"Obi-Wan Kenobi";180,33;83,81
"Apto";"Obi-Wan Kenobi";180,77;83,58
"Apto";"Aayla Secura";180,13;83,88
"Apto";"Aayla Secura";180,44;83,41
"Apto";"Obi-Wan Kenobi";180,34;83,59
"Apto";"Aayla Secura";180,7;84,44
"Apto";"Mace Windu";180,67;84,16
"Apto";"Yoda";180,08;83,97
"Defeituoso";"Yoda";180,51;83,08
"Apto";"Shaak Ti";180,93;83
"Apto";"Shaak Ti";180,48;84
"Apto";"Mace Windu";180,34;83,28
"Apto";"Yoda";180,01;83,54
"Apto";"Obi-Wan Kenobi";180,62;83,61
"Apto";"Mace Windu";180,34;83,61
"Apto";"Yoda";180,91;84,41
"Apto";"Mace Windu";180,7;83,37
"Apto";"Mace Windu";181,01;84,29
"Defeituoso";"Yoda";180,31;83,29
"Apto";"Mace Windu";180,69;83,33
"Apto";"Aayla Secura";180,13;84,23
"Apto";"Mace Windu";180,8;83,25
"Apto";"Aayla Secura";180,93;84,1
"Apto";"Shaak Ti";180,76;83,14
"Apto";"Obi-Wan Kenobi";180,24;83,2
"Apto";"Mace Windu";180,67;83,14
"Apto";"Yoda";180,49;84,44
"Apto";"Obi-Wan Kenobi";180,67;83,81
"Apto";"Obi-Wan Kenobi";180,84;83,09
"Apto";"Mace Windu";180,65;83,86
"Apto";"Mace Windu";180,63;84,31
"Apto";"Aayla Secura";180,87;83,78
"Apto";"Aayla Secura";180,54;84,16
"Apto";"Shaak Ti";180,36;83,83
"Apto";"Aayla Secura";180,98;83,54
"Defeituoso";"Yoda";180,48;83,38
"Apto";"Mace Windu";181,16;84
"Apto";"Shaak Ti";180,06;84,18
"Apto";"Obi-Wan Kenobi";180,81;83
"Apto";"Yoda";180,57;83,57
"Apto";"Yoda";180,38;83,97
"Apto";"Yoda";181,17;83,92
"Apto";"Obi-Wan Kenobi";180,96;83,2
"Apto";"Obi-Wan Kenobi";180,93;83,13
"Apto";"Mace Windu";181,12;84,01
"Apto";"Shaak Ti";180,54;84,38
"Apto";"Aayla Secura";180,73;83,4
"Apto";"Mace Windu";180,05;84,4
"Apto";"Shaak Ti";180,14;83,88
"Apto";"Mace Windu";180,17;84,29
"Apto";"Mace Windu";180,53;84,18
"Defeituoso";"Shaak Ti";180,54;83,35
"Apto";"Aayla Secura";180,3;83,36
"Apto";"Aayla Secura";180,72;83,56
"Apto";"Aayla Secura";181,06;83,48
"Apto";"Aayla Secura";181,08;84,34
"Apto";"Obi-Wan Kenobi";180,05;84,3
"Apto";"Yoda";180,88;83,93
"Apto";"Obi-Wan Kenobi";180,75;84,33
"Apto";"Shaak Ti";180,35;84
"Apto";"Aayla Secura";181,05;83,55
"Apto";"Yoda";180,81;83,94
"Apto";"Obi-Wan Kenobi";180,07;84,08
"Apto";"Aayla Secura";180,94;83,96
"Apto";"Mace Windu";180,02;84,44
"Apto";"Obi-Wan Kenobi";180,16;83,14
"Apto";"Aayla Secura";180,19;83,77
"Apto";"Shaak Ti";180,15;83,69
"Apto";"Mace Windu";181,01;83,52
"Apto";"Obi-Wan Kenobi";180,44;83,64
"Apto";"Obi-Wan Kenobi";180,16;83,74
"Apto";"Shaak Ti";180,44;84,28
"Apto";"Obi-Wan Kenobi";181,17;83,74
"Apto";"Yoda";180,18;83,86
"Apto";"Aayla Secura";180,85;83,19
"Apto";"Yoda";180,58;83,86
"Apto";"Mace Windu";180,42;83,44
"Apto";"Mace Windu";180,17;83,54
"Apto";"Obi-Wan Kenobi";181,07;83,39
"Apto";"Mace Windu";180,84;83,89
"Apto";"Obi-Wan Kenobi";180,84;84,29
"Apto";"Yoda";181,11;84,06
"Apto";"Obi-Wan Kenobi";180,94;84,14
"Defeituoso";"Shaak Ti";180,51;83,01
"Apto";"Aayla Secura";180,08;83,62
"Apto";"Yoda";180,76;83,9
"Apto";"Yoda";181;83,68
"Defeituoso";"Yoda";180,34;83,33
"Apto";"Shaak Ti";180,05;84,3
"Apto";"Obi-Wan Kenobi";180,74;83,03
"Apto";"Aayla Secura";180,97;83,94
"Apto";"Shaak Ti";180,5;84,37
"Apto";"Yoda";180,62;84,47
"Apto";"Aayla Secura";181,02;84,33
"Apto";"Obi-Wan Kenobi";181,1;84,08
"Apto";"Mace Windu";181,16;84,39
"Apto";"Yoda";180,22;83,08
"Apto";"Yoda";180,56;84,37
"Apto";"Yoda";180,84;83,77
"Apto";"Yoda";181,04;84,21
"Apto";"Obi-Wan Kenobi";181,13;83,65
"Apto";"Yoda";180,63;84,48
"Apto";"Mace Windu";180,51;84,46
"Apto";"Mace Windu";180,27;83,3
"Apto";"Mace Windu";180,52;83,9
"Apto";"Obi-Wan Kenobi";180,73;84,47
"Apto";"Obi-Wan Kenobi";180,45;83,15
"Apto";"Shaak Ti";180,89;84,06
"Apto";"Mace Windu";180,03;83,69
"Defeituoso";"Shaak Ti";180,37;83,31
"Apto";"Shaak Ti";180,69;83,27
"Defeituoso";"Yoda";180,27;83,08
"Apto";"Obi-Wan Kenobi";180,09;83,56
"Apto";"Yoda";180,21;84,33
"Apto";"Mace Windu";180,44;83,26
"Apto";"Yoda";180,31;84,44
"Apto";"Aayla Secura";180,79;84,48
"Apto";"Shaak Ti";180,07;83,14
"Apto";"Yoda";180,3;84,45
"Apto";"Mace Windu";180,1;83,5
"Apto";"Mace Windu";180,42;83,26
"Apto";"Shaak Ti";180,52;84,25
"Apto";"Yoda";180,82;84,44
"Apto";"Obi-Wan Kenobi";180,96;83,19
"Apto";"Obi-Wan Kenobi";180,6;83,39
"Apto";"Mace Windu";180,5;83,43
"Apto";"Yoda";180,33;83,91
"Defeituoso";"Yoda";180,52;83,31
"Apto";"Aayla Secura";180,53;83,94
"Apto";"Yoda";180,38;83,91
"Apto";"Shaak Ti";181,13;83,26
"Apto";"Aayla Secura";180,19;83,7
"Apto";"Aayla Secura";180,79;83,95
"Apto";"Shaak Ti";180,95;83,58
"Apto";"Shaak Ti";181,14;83,68
"Apto";"Yoda";180,9;84,13
"Apto";"Yoda";180,63;84,06
"Apto";"Obi-Wan Kenobi";180,79;83,45
"Apto";"Yoda";180,64;83,6
"Apto";"Shaak Ti";180,53;83,88
"Apto";"Aayla Secura";180,74;83,84
"Apto";"Aayla Secura";180,61;83,62
"Apto";"Obi-Wan Kenobi";180,07;83,6
"Apto";"Yoda";180,64;83,7
"Apto";"Yoda";180,84;83,54
"Apto";"Mace Windu";180,6;83,75
"Apto";"Shaak Ti";181,05;84,12
"Apto";"Aayla Secura";180,1;84,18
"Apto";"Mace Windu";181,1;83,23
"Apto";"Yoda";180,62;83,56
"Defeituoso";"Yoda";180,54;83,13
"Apto";"Aayla Secura";180,61;84,12
"Apto";"Mace Windu";180,37;83,02
"Apto";"Obi-Wan Kenobi";180,79;83,06
"Apto";"Aayla Secura";180,34;83,85
"Apto";"Obi-Wan Kenobi";180,34;84,36
"Apto";"Yoda";180,66;83,75
"Apto";"Obi-Wan Kenobi";180,96;83,09
"Apto";"Aayla Secura";180,24;83,49
"Defeituoso";"Shaak Ti";180,51;83,16
"Apto";"Aayla Secura";180,3;83,76
"Apto";"Mace Windu";181,04;83,48
"Apto";"Obi-Wan Kenobi";181,17;84,46
"Apto";"Aayla Secura";180,92;83,45
"Apto";"Yoda";180,83;84,37
"Apto";"Shaak Ti";180,11;83,31
"Apto";"Aayla Secura";180,29;83,67
"Apto";"Mace Windu";180,14;83,13
"Apto";"Yoda";180,85;83,14
"Apto";"Mace Windu";180,2;84,08
"Apto";"Mace Windu";180,16;83,19
"Apto";"Obi-Wan Kenobi";180,04;83,41
"Apto";"Mace Windu";180,17;83,56
"Apto";"Aayla Secura";181,12;84,16
"Apto";"Obi-Wan Kenobi";180,64;83,89
"Apto";"Yoda";181,16;83,93
"Apto";"Mace Windu";180,73;84,33
"Apto";"Aayla Secura";180,55;83,66
"Apto";"Aayla Secura";180,99;84,43
"Apto";"Obi-Wan Kenobi";180,97;84,28
"Apto";"Obi-Wan Kenobi";180,89;83,64
"Apto";"Aayla Secura";180,21;83,14
"Apto";"Aayla Secura";180,7;83,56
"Apto";"Obi-Wan Kenobi";181,02;84,49
"Apto";"Obi-Wan Kenobi";180,4;83,56
"Apto";"Obi-Wan Kenobi";180,32;83,51
"Apto";"Mace Windu";181,16;83,46
"Apto";"Mace Windu";181,14;83,58
"Apto";"Aayla Secura";181,19;84,03
"Apto";"Obi-Wan Kenobi";180,88;83,94
"Apto";"Obi-Wan Kenobi";180,89;83,65
"Defeituoso";"Yoda";180,31;83,06
"Apto";"Mace Windu";180,13;83,75
"Apto";"Mace Windu";180,48;83,07
"Apto";"Yoda";180,98;83,7
"Apto";"Yoda";180,18;84,38
"Apto";"Aayla Secura";180,06;83,74
"Apto";"Aayla Secura";180,77;84,1
"Apto";"Shaak Ti";180,61;84,36
"Apto";"Aayla Secura";181,18;83,65
"Apto";"Mace Windu";180,27;84,03
"Apto";"Obi-Wan Kenobi";180,97;83,81
"Apto";"Obi-Wan Kenobi";180,24;84,29
"Defeituoso";"Shaak Ti";180,42;83,05
"Apto";"Obi-Wan Kenobi";180,69;83,19
"Defeituoso";"Shaak Ti";180,26;83,37
"Defeituoso";"Shaak Ti";180,55;83,39
"Apto";"Aayla Secura";180,78;83,76
"Apto";"Obi-Wan Kenobi";181,14;83,43
"Apto";"Yoda";180,45;84,27
"Apto";"Aayla Secura";180,03;83,86
"Apto";"Aayla Secura";180,39;83,16
"Apto";"Obi-Wan Kenobi";181,01;84,11
"Defeituoso";"Yoda";180,41;83,04
"Defeituoso";"Shaak Ti";180,27;83,24
"Apto";"Aayla Secura";180,49;84,12
"Apto";"Obi-Wan Kenobi";181,1;83,47
"Apto";"Mace Windu";180,86;84,18
"Apto";"Yoda";180,12;84,4
"Apto";"Yoda";180,8;83,76
"Apto";"Yoda";180,51;84,1
"Apto";"Yoda";180,37;83,97
"Apto";"Mace Windu";180,81;83,83
"Apto";"Shaak Ti";180,75;83,57
"Apto";"Obi-Wan Kenobi";180,87;84,11
"Apto";"Shaak Ti";180,6;83,5
"Apto";"Yoda";180,41;83,83
"Apto";"Shaak Ti";181;84,31
"Apto";"Obi-Wan Kenobi";180,64;84,05
"Apto";"Shaak Ti";180,9;84,26
"Apto";"Shaak Ti";180,8;83,45
"Defeituoso";"Shaak Ti";180,38;83,33
"Apto";"Aayla Secura";180,13;84,47
"Apto";"Obi-Wan Kenobi";180,42;83,59
"Apto";"Obi-Wan Kenobi";180,5;83,34
"Apto";"Mace Windu";180,01;83,73
"Apto";"Obi-Wan Kenobi";180,47;83,56
"Apto";"Aayla Secura";180,25;83,74
"Apto";"Yoda";180,25;84,18
"Apto";"Obi-Wan Kenobi";180,96;83,27
"Defeituoso";"Shaak Ti";180,4;83,36
"Apto";"Obi-Wan Kenobi";180,31;83,61
"Apto";"Aayla Secura";180,83;83,08
"Apto";"Obi-Wan Kenobi";180,37;83,07
"Apto";"Obi-Wan Kenobi";180,52;84,3
"Apto";"Obi-Wan Kenobi";180,81;83,97
"Apto";"Yoda";180,13;83,74
"Apto";"Aayla Secura";181,16;83,13
"Defeituoso";"Yoda";180,3;83,38
"Apto";"Shaak Ti";180,54;83,87
"Apto";"Yoda";180,06;84,48
"Apto";"Aayla Secura";180,29;83,64
"Apto";"Aayla Secura";180,09;83,12
"Apto";"Yoda";181,13;83,51
"Apto";"Shaak Ti";180,56;84,17
"Apto";"Obi-Wan Kenobi";180,83;83,69
"Apto";"Mace Windu";180,94;84,45
"Apto";"Mace Windu";181,16;83,21
"Apto";"Mace Windu";180,7;84,04
"Apto";"Shaak Ti";180,6;84,12
"Apto";"Obi-Wan Kenobi";180,71;83,72
"Apto";"Aayla Secura";181,02;84,38
"Defeituoso";"Shaak Ti";180,47;83,35
"Apto";"Obi-Wan Kenobi";180,72;83,38
"Apto";"Obi-Wan Kenobi";180,32;83,71
"Apto";"Shaak Ti";180,63;83,81
"Apto";"Obi-Wan Kenobi";180,38;83,78
"Apto";"Shaak Ti";180,32;84,34
"Defeituoso";"Yoda";180,51;83,26
"Apto";"Aayla Secura";180,86;83,23
"Defeituoso";"Shaak Ti";180,51;83,31
"Apto";"Mace Windu";180,58;83,74
"Defeituoso";"Yoda";180,38;83,29
"Apto";"Shaak Ti";180,95;83,07
"Apto";"Obi-Wan Kenobi";180,3;83,81
"Apto";"Mace Windu";181,06;83,53
"Apto";"Obi-Wan Kenobi";181,16;84,37
"Apto";"Aayla Secura";180,84;84,1
"Apto";"Shaak Ti";180,53;84,15
"Apto";"Obi-Wan Kenobi";180,81;83,96
"Apto";"Aayla Secura";180,15;83,06
"Apto";"Mace Windu";180,84;83,13
"Apto";"Mace Windu";181,08;83,07
"Apto";"Aayla Secura";180,59;83,33
"Apto";"Shaak Ti";180,47;83,84
"Defeituoso";"Yoda";180,47;83,03
"Apto";"Yoda";180,24;83,63
"Apto";"Obi-Wan Kenobi";181,12;84,1
"Apto";"Mace Windu";180,59;84,16
"Apto";"Mace Windu";180,26;84,2
"Defeituoso";"Yoda";180,38;83,01
"Apto";"Obi-Wan Kenobi";180,07;83,37
"Apto";"Yoda";180,58;83,12
"Defeituoso";"Shaak Ti";180,25;83,34
"Apto";"Aayla Secura";180,75;83,78
"Apto";"Aayla Secura";180,85;83,94
"Apto";"Mace Windu";180,82;83,7
"Apto";"Mace Windu";180,36;83,74
"Apto";"Yoda";180,74;83,85
"Defeituoso";"Yoda";180,3;83,03
"Apto";"Obi-Wan Kenobi";180,96;83,38
"Apto";"Aayla Secura";180,92;83,05
"Apto";"Shaak Ti";180,58;84,03
"Apto";"Obi-Wan Kenobi";180,73;83,25
"Apto";"Mace Windu";180,7;83,29
"Apto";"Mace Windu";180,3;83,5
"Apto";"Yoda";180,84;84,23
"Apto";"Obi-Wan Kenobi";180,98;83,44
"Apto";"Mace Windu";180,59;83,86
"Defeituoso";"Shaak Ti";180,41;83,29
"Apto";"Shaak Ti";180,95;84,3
"Apto";"Shaak Ti";180,23;83,53
"Apto";"Shaak Ti";180,15;83,09
"Apto";"Yoda";180,21;83,74
"Apto";"Obi-Wan Kenobi";180,56;83,55
"Apto";"Shaak Ti";180,8;83,24
"Apto";"Obi-Wan Kenobi";180,37;83,01
"Apto";"Yoda";180,34;83,5
"Apto";"Obi-Wan Kenobi";181,13;83,56
"Apto";"Shaak Ti";180,06;83,15
"Apto";"Yoda";180,91;83,11
"Apto";"Obi-Wan Kenobi";180,65;83,17
"Apto";"Yoda";180,33;83,74
"Apto";"Yoda";180,56;83,06
"Apto";"Yoda";180,73;83,93
"Defeituoso";"Shaak Ti";180,48;83,08
"Defeituoso";"Yoda";180,25;83,09
"Apto";"Yoda";180,03;84,4
"Apto";"Aayla Secura";180,53;83,06
"Apto";"Obi-Wan Kenobi";180,25;83,98
"Apto";"Yoda";180,67;83,05
"Apto";"Obi-Wan Kenobi";180,81;83,52
"Defeituoso";"Yoda";180,3;83,07
"Defeituoso";"Yoda";180,34;83,26
"Apto";"Shaak Ti";180,96;83,12
"Apto";"Aayla Secura";181,13;84,08
"Apto";"Yoda";180,23;84,27
"Apto";"Obi-Wan Kenobi";180,35;83,18
"Apto";"Mace Windu";180,25;84,22
"Apto";"Aayla Secura";180,39;83,88
"Apto";"Shaak Ti";180,76;84,27
"Defeituoso";"Yoda";180,35;83,35
"Apto";"Yoda";180,63;84,32
"Apto";"Aayla Secura";180,74;83,17
"Apto";"Aayla Secura";180,71;84,07
"Apto";"Yoda";180,46;83,91
"Apto";"Yoda";180,61;83,53
"Apto";"Aayla Secura";180,47;84,3
"Apto";"Obi-Wan Kenobi";180,83;83,11
"Apto";"Mace Windu";180,52;84,44
"Apto";"Yoda";180,66;83,67
"Apto";"Obi-Wan Kenobi";180,13;83,45
"Apto";"Shaak Ti";180,98;83,68
"Defeituoso";"Shaak Ti";180,45;83,1
"Defeituoso";"Yoda";180,53;83,02
"Apto";"Obi-Wan Kenobi";180,66;83,42
"Apto";"Shaak Ti";181,1;83,92
"Defeituoso";"Yoda";180,44;83,15
"Apto";"Mace Windu";180,26;83,57
"Apto";"Yoda";180,05;83,08
"Apto";"Yoda";180,77;84,3
"Apto";"Mace Windu";180,66;83,52
"Apto";"Obi-Wan Kenobi";180,06;83,24
